时间,今值,预测值
1998年4月1日 (三月)17:00,10.00K, 
1998年3月1日 (二月)17:00,8.00K, 
1998年2月1日 (一月)17:00,31.00K, 
1998年1月1日 (十二月)17:00,32.00K, 
1997年12月1日 (十一月)17:00,43.00K, 
1997年11月1日 (十月)17:00,48.00K, 
1997年10月1日 (九月)17:00,13.00K, 
1997年9月1日 (八月)17:00,63.00K, 
1997年8月1日 (七月)17:00,2.00K, 
1997年7月1日 (六月)17:00,25.00K, 
1997年6月1日 (五月)17:00,13.00K, 
1997年5月1日 (四月)17:00,9.00K, 
1997年4月1日 (三月)17:00,24.00K, 
1997年3月1日 (二月)17:00,19.00K, 
1997年2月1日 (一月)17:00,13.00K, 
1997年1月1日 (十二月)17:00,7.00K, 
1996年12月1日 (十一月)17:00,9.00K, 
1996年11月1日 (十月)17:00,16.00K, 
1996年10月1日 (九月)17:00,-3.00K, 
1996年9月1日 (八月)17:00,32.00K, 
1996年8月1日 (七月)17:00,-3.00K, 
1996年7月1日 (六月)17:00,4.00K, 
1996年6月1日 (五月)17:00,18.00K, 
1996年5月1日 (四月)17:00,11.00K, 
1996年4月1日 (三月)17:00,-36.00K, 
1996年3月1日 (二月)17:00,21.00K, 
1996年2月1日 (一月)17:00,-23.00K, 
1996年1月1日 (十二月)17:00,22.00K, 
1995年12月1日 (十一月)17:00,-7.00K, 
1995年11月1日 (十月)17:00,-31.00K, 
1995年10月1日 (九月)17:00,7.00K, 
1995年9月1日 (八月)17:00,22.00K, 
1995年8月1日 (七月)17:00,-29.00K, 
1995年7月1日 (六月)17:00,-12.00K, 
1995年6月1日 (五月)17:00,-19.00K, 
1995年5月1日 (四月)17:00,15.00K, 
1995年4月1日 (三月)17:00,-2.00K, 
1995年3月1日 (二月)17:00,3.00K, 
1995年2月1日 (一月)17:00,45.00K, 
1995年1月1日 (十二月)17:00,31.00K, 
1994年12月1日 (十一月)17:00,42.00K, 
1994年11月1日 (十月)17:00,29.00K, 
1994年10月1日 (九月)17:00,34.00K, 
1994年9月1日 (八月)17:00,55.00K, 
1994年8月1日 (七月)17:00,16.00K, 
1994年7月1日 (六月)17:00,48.00K, 
1994年6月1日 (五月)17:00,29.00K, 
1994年5月1日 (四月)17:00,36.00K, 
1994年4月1日 (三月)17:00,35.00K, 
1994年3月1日 (二月)17:00,7.00K, 
1994年2月1日 (一月)17:00,40.00K, 
1994年1月1日 (十二月)17:00,15.00K, 
1993年12月1日 (十一月)17:00,22.00K, 
1993年11月1日 (十月)17:00,9.00K, 
1993年10月1日 (九月)17:00,28.00K, 
1993年9月1日 (八月)17:00,2.00K, 
1993年8月1日 (七月)17:00,-3.00K, 
1993年7月1日 (六月)17:00,-24.00K, 
1993年6月1日 (五月)17:00,-6.00K, 
1993年5月1日 (四月)17:00,-23.00K, 
1993年4月1日 (三月)17:00,-10.00K, 
1993年3月1日 (二月)17:00,14.00K, 
1993年2月1日 (一月)17:00,22.00K, 
1993年1月1日 (十二月)17:00,11.00K, 
1992年12月1日 (十一月)17:00,7.00K, 
1992年11月1日 (十月)17:00,-10.00K, 
1992年10月1日 (九月)17:00,-22.00K, 
1992年9月1日 (八月)17:00,-36.00K, 
1992年8月1日 (七月)17:00,-7.00K, 
1992年7月1日 (六月)17:00,-9.00K, 
1992年6月1日 (五月)17:00,4.00K, 
1992年5月1日 (四月)17:00,26.00K, 
1992年4月1日 (三月)17:00,-24.00K, 
1992年3月1日 (二月)17:00,-10.00K, 
1992年2月1日 (一月)17:00,-77.00K, 
1992年1月1日 (十二月)17:00,-45.00K, 
1991年12月1日 (十一月)17:00,-38.00K, 
1991年11月1日 (十月)17:00,-11.00K, 
1991年10月1日 (九月)17:00,-15.00K, 
1991年9月1日 (八月)17:00,10.00K, 
1991年8月1日 (七月)17:00,-29.00K, 
1991年7月1日 (六月)17:00,-26.00K, 
1991年6月1日 (五月)17:00,-23.00K, 
1991年5月1日 (四月)17:00,-47.00K, 
1991年4月1日 (三月)17:00,-71.00K, 
1991年3月1日 (二月)17:00,-119.00K, 
1991年2月1日 (一月)17:00,-65.00K, 
1991年1月1日 (十二月)17:00,-33.00K, 
1990年12月1日 (十一月)17:00,-149.00K, 
1990年11月1日 (十月)17:00,-32.00K, 
1990年10月1日 (九月)17:00,-40.00K, 
1990年9月1日 (八月)17:00,-55.00K, 
1990年8月1日 (七月)17:00,-72.00K, 
1990年7月1日 (六月)17:00,-21.00K, 
1990年6月1日 (五月)17:00,-48.00K, 
1990年5月1日 (四月)17:00,-23.00K, 
1990年4月1日 (三月)17:00,-25.00K, 
1990年3月1日 (二月)17:00,96.00K, 
1990年2月1日 (一月)17:00,-84.00K, 
1990年1月1日 (十二月)17:00,-5.00K, 
1989年12月1日 (十一月)17:00,-9.00K, 
1989年11月1日 (十月)17:00,-27.00K, 
1989年10月1日 (九月)17:00,-42.00K, 
1989年9月1日 (八月)17:00,-16.00K, 
1989年8月1日 (七月)17:00,-33.00K, 
1989年7月1日 (六月)17:00,-27.00K, 
1989年6月1日 (五月)17:00,-15.00K, 
1989年5月1日 (四月)17:00,-5.00K, 
1989年4月1日 (三月)17:00,5.00K, 
1989年3月1日 (二月)17:00,-2.00K, 
1989年2月1日 (一月)17:00,32.00K, 
1989年1月1日 (十二月)17:00,22.00K, 
1988年12月1日 (十一月)17:00,37.00K, 
1988年11月1日 (十月)17:00,52.00K, 
1988年10月1日 (九月)17:00,23.00K, 
1988年9月1日 (八月)17:00,-35.00K, 
1988年8月1日 (七月)17:00,10.00K, 
1988年7月1日 (六月)17:00,24.00K, 
1988年6月1日 (五月)17:00,18.00K, 
1988年5月1日 (四月)17:00,30.00K, 
1988年4月1日 (三月)17:00,21.00K, 
1988年3月1日 (二月)17:00,33.00K, 
1988年2月1日 (一月)17:00,-19.00K, 
1988年1月1日 (十二月)17:00,34.00K, 
1987年12月1日 (十一月)17:00,46.00K, 
1987年11月1日 (十月)17:00,38.00K, 
1987年10月1日 (九月)17:00,61.00K, 
1987年9月1日 (八月)17:00,37.00K, 
1987年8月1日 (七月)17:00,56.00K, 
1987年7月1日 (六月)17:00,-5.00K, 
1987年6月1日 (五月)17:00,17.00K, 
1987年5月1日 (四月)17:00,18.00K, 
1987年4月1日 (三月)17:00,8.00K, 
1987年3月1日 (二月)17:00,34.00K, 
1987年2月1日 (一月)17:00,-13.00K, 
1987年1月1日 (十二月)17:00,6.00K, 
1986年12月1日 (十一月)17:00,-5.00K, 
1986年11月1日 (十月)17:00,-21.00K, 
1986年10月1日 (九月)17:00,9.00K, 
1986年9月1日 (八月)17:00,-8.00K, 
1986年8月1日 (七月)17:00,-33.00K, 
1986年7月1日 (六月)17:00,-63.00K, 
1986年6月1日 (五月)17:00,-23.00K, 
1986年5月1日 (四月)17:00,-8.00K, 
1986年4月1日 (三月)17:00,-39.00K, 
1986年3月1日 (二月)17:00,-23.00K, 
1986年2月1日 (一月)17:00,-7.00K, 
1986年1月1日 (十二月)17:00,-4.00K, 
1985年12月1日 (十一月)17:00,-11.00K, 
1985年11月1日 (十月)17:00,-10.00K, 
1985年10月1日 (九月)17:00,-38.00K, 
1985年9月1日 (八月)17:00,-20.00K, 
1985年8月1日 (七月)17:00,-43.00K, 
1985年7月1日 (六月)17:00,-36.00K, 
1985年6月1日 (五月)17:00,-31.00K, 
1985年5月1日 (四月)17:00,-53.00K, 
1985年4月1日 (三月)17:00,-27.00K, 
1985年3月1日 (二月)17:00,-43.00K, 
1985年2月1日 (一月)17:00,-14.00K, 
1985年1月1日 (十二月)17:00,7.00K, 
1984年12月1日 (十一月)17:00,-8.00K, 
1984年11月1日 (十月)17:00,5.00K, 
1984年10月1日 (九月)17:00,-15.00K, 
1984年9月1日 (八月)17:00,21.00K, 
1984年8月1日 (七月)17:00,46.00K, 
1984年7月1日 (六月)17:00,51.00K, 
1984年6月1日 (五月)17:00,44.00K, 
1984年5月1日 (四月)17:00,66.00K, 
1984年4月1日 (三月)17:00,78.00K, 
1984年3月1日 (二月)17:00,98.00K, 
1984年2月1日 (一月)17:00,79.00K, 
1984年1月1日 (十二月)17:00,72.00K, 
1983年12月1日 (十一月)17:00,112.00K, 
1983年11月1日 (十月)17:00,112.00K, 
1983年10月1日 (九月)17:00,137.00K, 
1983年9月1日 (八月)17:00,59.00K, 
1983年8月1日 (七月)17:00,99.00K, 
1983年7月1日 (六月)17:00,75.00K, 
1983年6月1日 (五月)17:00,91.00K, 
1983年5月1日 (四月)17:00,83.00K, 
1983年4月1日 (三月)17:00,5.00K, 
1983年3月1日 (二月)17:00,1.00K, 
1983年2月1日 (一月)17:00,15.00K, 
1983年1月1日 (十二月)17:00,-32.00K, 
1982年12月1日 (十一月)17:00,-131.00K, 
1982年11月1日 (十月)17:00,-221.00K, 
1982年10月1日 (九月)17:00,-86.00K, 
1982年9月1日 (八月)17:00,-118.00K, 
1982年8月1日 (七月)17:00,-152.00K, 
1982年7月1日 (六月)17:00,-158.00K, 
1982年6月1日 (五月)17:00,-95.00K, 
1982年5月1日 (四月)17:00,-174.00K, 
1982年4月1日 (三月)17:00,-124.00K, 
1982年3月1日 (二月)17:00,-66.00K, 
1982年2月1日 (一月)17:00,-176.00K, 
1982年1月1日 (十二月)17:00,-186.00K, 
1981年12月1日 (十一月)17:00,-157.00K, 
1981年11月1日 (十月)17:00,-146.00K, 
1981年10月1日 (九月)17:00,-36.00K, 
1981年9月1日 (八月)17:00,-37.00K, 
1981年8月1日 (七月)17:00,-4.00K, 
1981年7月1日 (六月)17:00,23.00K, 
1981年6月1日 (五月)17:00,55.00K, 
1981年5月1日 (四月)17:00,64.00K, 
1981年4月1日 (三月)17:00,34.00K, 
1981年3月1日 (二月)17:00,-26.00K, 
1981年2月1日 (一月)17:00,-1.00K, 
1981年1月1日 (十二月)17:00,39.00K, 
1980年12月1日 (十一月)17:00,95.00K, 
1980年11月1日 (十月)17:00,61.00K, 
1980年10月1日 (九月)17:00,31.00K, 
1980年9月1日 (八月)17:00,138.00K, 
1980年8月1日 (七月)17:00,-214.00K, 
1980年7月1日 (六月)17:00,-236.00K, 
1980年6月1日 (五月)17:00,-247.00K, 
1980年5月1日 (四月)17:00,-244.00K, 
1980年4月1日 (三月)17:00,-2.00K, 
1980年3月1日 (二月)17:00,-63.00K, 
1980年2月1日 (一月)17:00,-19.00K, 
1980年1月1日 (十二月)17:00,2.00K, 
1979年12月1日 (十一月)17:00,-91.00K, 
