时间,今值,预测值
1993年1月1日 (十二月)17:00,0.98B, 
1992年12月1日 (十一月)17:00,0.83B, 
1992年11月1日 (十月)17:00,1.31B, 
1992年10月1日 (九月)17:00,0.56B, 
1992年9月1日 (八月)17:00,0.91B, 
1992年8月1日 (七月)17:00,0.29B, 
1992年7月1日 (六月)17:00,0.19B, 
1992年6月1日 (五月)17:00,1.09B, 
1992年5月1日 (四月)17:00,0.93B, 
1992年4月1日 (三月)17:00,0.62B, 
1992年3月1日 (二月)17:00,0.84B, 
1992年2月1日 (一月)17:00,0.29B, 
1992年1月1日 (十二月)17:00,1.04B, 
1991年12月1日 (十一月)17:00,0.08B, 
1991年11月1日 (十月)17:00,0.15B, 
1991年10月1日 (九月)17:00,0.33B, 
1991年9月1日 (八月)17:00,0.73B, 
1991年8月1日 (七月)17:00,0.63B, 
1991年7月1日 (六月)17:00,0.57B, 
1991年6月1日 (五月)17:00,0.81B, 
1991年5月1日 (四月)17:00,1.06B, 
1991年4月1日 (三月)17:00,0.52B, 
1991年3月1日 (二月)17:00,0.71B, 
1991年2月1日 (一月)17:00,0.25B, 
1991年1月1日 (十二月)17:00,0.70B, 
1990年12月1日 (十一月)17:00,0.87B, 
1990年11月1日 (十月)17:00,1.29B, 
1990年10月1日 (九月)17:00,1.67B, 
1990年9月1日 (八月)17:00,0.81B, 
1990年8月1日 (七月)17:00,1.38B, 
1990年7月1日 (六月)17:00,0.84B, 
1990年6月1日 (五月)17:00,1.10B, 
1990年5月1日 (四月)17:00,0.75B, 
1990年4月1日 (三月)17:00,0.74B, 
1990年3月1日 (二月)17:00,0.16B, 
1990年2月1日 (一月)17:00,0.66B, 
1990年1月1日 (十二月)17:00,0.26B, 
1989年12月1日 (十一月)17:00,0.76B, 
1989年11月1日 (十月)17:00,0.41B, 
1989年10月1日 (九月)17:00,0.40B, 
1989年9月1日 (八月)17:00,0.67B, 
1989年8月1日 (七月)17:00,0.68B, 
1989年7月1日 (六月)17:00,0.19B, 
1989年6月1日 (五月)17:00,0.90B, 
1989年5月1日 (四月)17:00,0.21B, 
1989年4月1日 (三月)17:00,0.53B, 
1989年3月1日 (二月)17:00,1.20B, 
1989年2月1日 (一月)17:00,1.39B, 
1989年1月1日 (十二月)17:00,0.79B, 
1988年12月1日 (十一月)17:00,1.01B, 
1988年11月1日 (十月)17:00,1.11B, 
1988年10月1日 (九月)17:00,0.55B, 
1988年9月1日 (八月)17:00,0.87B, 
1988年8月1日 (七月)17:00,0.87B, 
1988年7月1日 (六月)17:00,1.40B, 
1988年6月1日 (五月)17:00,0.73B, 
1988年5月1日 (四月)17:00,1.18B, 
1988年4月1日 (三月)17:00,0.88B, 
1988年3月1日 (二月)17:00,1.18B, 
1988年2月1日 (一月)17:00,-0.03B, 
