时间,今值,预测值
1981年11月1日 (十月)17:00,37.40K, 
1981年10月1日 (九月)17:00,41.10K, 
1981年9月1日 (八月)17:00,37.90K, 
1981年8月1日 (七月)17:00,46.50K, 
1981年7月1日 (六月)17:00,46.40K, 
1981年6月1日 (五月)17:00,62.60K, 
1981年5月1日 (四月)17:00,63.80K, 
1981年4月1日 (三月)17:00,73.10K, 
1981年3月1日 (二月)17:00,68.90K, 
1981年2月1日 (一月)17:00,64.90K, 
1981年1月1日 (十二月)17:00,87.60K, 
1980年12月1日 (十一月)17:00,110.20K, 
1980年11月1日 (十月)17:00,88.00K, 
1980年10月1日 (九月)17:00,70.10K, 
1980年9月1日 (八月)17:00,96.70K, 
1980年8月1日 (七月)17:00,62.90K, 
1980年7月1日 (六月)17:00,50.80K, 
1980年6月1日 (五月)17:00,38.80K, 
1980年5月1日 (四月)17:00,47.20K, 
1980年4月1日 (三月)17:00,29.10K, 
1980年3月1日 (二月)17:00,35.20K, 
1980年2月1日 (一月)17:00,16.70K, 
1980年1月1日 (十二月)17:00,11.10K, 
1979年12月1日 (十一月)17:00,-9.50K, 
1979年11月1日 (十月)17:00,9.00K, 
1979年10月1日 (九月)17:00,-7.40K, 
1979年9月1日 (八月)17:00,-12.70K, 
1979年8月1日 (七月)17:00,-4.20K, 
1979年7月1日 (六月)17:00,-18.80K, 
1979年6月1日 (五月)17:00,0.00K, 
1979年5月1日 (四月)17:00,-30.10K, 
1979年4月1日 (三月)17:00,-2.70K, 
1979年3月1日 (二月)17:00,20.30K, 
1979年2月1日 (一月)17:00,5.30K, 
1979年1月1日 (十二月)17:00,-10.90K, 
1978年12月1日 (十一月)17:00,-20.70K, 
1978年11月1日 (十月)17:00,-14.80K, 
1978年10月1日 (九月)17:00,-14.40K, 
1978年9月1日 (八月)17:00,10.00K, 
1978年8月1日 (七月)17:00,-5.70K, 
1978年7月1日 (六月)17:00,-0.30K, 
1978年6月1日 (五月)17:00,-6.70K, 
1978年5月1日 (四月)17:00,-0.80K, 
1978年4月1日 (三月)17:00,-2.80K, 
1978年3月1日 (二月)17:00,-16.60K, 
1978年2月1日 (一月)17:00,-14.00K, 
1978年1月1日 (十二月)17:00,-4.60K, 
1977年12月1日 (十一月)17:00,-2.00K, 
1977年11月1日 (十月)17:00,-5.50K, 
1977年10月1日 (九月)17:00,20.90K, 
1977年9月1日 (八月)17:00,2.90K, 
1977年8月1日 (七月)17:00,20.50K, 
1977年7月1日 (六月)17:00,29.60K, 
1977年6月1日 (五月)17:00,2.10K, 
1977年5月1日 (四月)17:00,9.70K, 
1977年4月1日 (三月)17:00,0.50K, 
1977年3月1日 (二月)17:00,-3.70K, 
1977年2月1日 (一月)17:00,2.30K, 
1977年1月1日 (十二月)17:00,3.70K, 
1976年12月1日 (十一月)17:00,7.30K, 
1976年11月1日 (十月)17:00,-9.20K, 
1976年10月1日 (九月)17:00,-0.60K, 
1976年9月1日 (八月)17:00,14.60K, 
1976年8月1日 (七月)17:00,7.50K, 
1976年7月1日 (六月)17:00,-2.70K, 
1976年6月1日 (五月)17:00,18.10K, 
1976年5月1日 (四月)17:00,14.50K, 
1976年4月1日 (三月)17:00,13.30K, 
1976年3月1日 (二月)17:00,20.30K, 
1976年2月1日 (一月)17:00,24.90K, 
1976年1月1日 (十二月)17:00,27.00K, 
1975年12月1日 (十一月)17:00,35.70K, 
1975年11月1日 (十月)17:00,57.40K, 
1975年10月1日 (九月)17:00,31.20K, 
1975年9月1日 (八月)17:00,27.10K, 
1975年8月1日 (七月)17:00,44.50K, 
1975年7月1日 (六月)17:00,39.80K, 
1975年6月1日 (五月)17:00,51.00K, 
1975年5月1日 (四月)17:00,41.70K, 
1975年4月1日 (三月)17:00,32.60K, 
1975年3月1日 (二月)17:00,21.30K, 
1975年2月1日 (一月)17:00,29.30K, 
1975年1月1日 (十二月)17:00,13.60K, 
1974年12月1日 (十一月)17:00,5.20K, 
1974年11月1日 (十月)17:00,5.40K, 
1974年10月1日 (九月)17:00,4.10K, 
1974年9月1日 (八月)17:00,19.40K, 
1974年8月1日 (七月)17:00,1.90K, 
1974年7月1日 (六月)17:00,14.60K, 
1974年6月1日 (五月)17:00,-3.10K, 
1974年5月1日 (四月)17:00,2.60K, 
1974年4月1日 (三月)17:00,8.20K, 
1974年3月1日 (二月)17:00,17.90K, 
1974年2月1日 (一月)17:00,46.10K, 
1974年1月1日 (十二月)17:00,-18.60K, 
1973年12月1日 (十一月)17:00,-15.30K, 
1973年11月1日 (十月)17:00,-12.90K, 
1973年10月1日 (九月)17:00,-17.40K, 
1973年9月1日 (八月)17:00,-19.50K, 
1973年8月1日 (七月)17:00,-23.90K, 
1973年7月1日 (六月)17:00,-7.40K, 
1973年6月1日 (五月)17:00,-9.60K, 
1973年5月1日 (四月)17:00,-13.10K, 
1973年4月1日 (三月)17:00,-14.00K, 
1973年3月1日 (二月)17:00,-29.40K, 
1973年2月1日 (一月)17:00,-35.70K, 
1973年1月1日 (十二月)17:00,-26.80K, 
1972年12月1日 (十一月)17:00,-14.50K, 
1972年11月1日 (十月)17:00,-16.00K, 
1972年10月1日 (九月)17:00,4.00K, 
1972年9月1日 (八月)17:00,-17.10K, 
1972年8月1日 (七月)17:00,-12.60K, 
1972年7月1日 (六月)17:00,-23.40K, 
1972年6月1日 (五月)17:00,-30.10K, 
1972年5月1日 (四月)17:00,-3.70K, 
1972年4月1日 (三月)17:00,11.10K, 
1972年3月1日 (二月)17:00,14.40K, 
1972年2月1日 (一月)17:00,-3.60K, 
1972年1月1日 (十二月)17:00,10.10K, 
1971年12月1日 (十一月)17:00,31.80K, 
1971年11月1日 (十月)17:00,31.80K, 
1971年10月1日 (九月)17:00,19.90K, 
1971年9月1日 (八月)17:00,1.20K, 
1971年8月1日 (七月)17:00,7.70K, 
1971年7月1日 (六月)17:00,13.50K, 
1971年6月1日 (五月)17:00,42.60K, 
1971年5月1日 (四月)17:00,25.60K, 
1971年4月1日 (三月)17:00,21.20K, 
1971年3月1日 (二月)17:00,18.70K, 
