时间,今值,预测值
1984年8月1日 (七月)17:00,-3.30K, 
1984年7月1日 (六月)17:00,21.20K, 
1984年6月1日 (五月)17:00,16.90K, 
1984年5月1日 (四月)17:00,-3.20K, 
1984年4月1日 (三月)17:00,44.60K, 
1984年3月1日 (二月)17:00,12.50K, 
1984年2月1日 (一月)17:00,-4.50K, 
1984年1月1日 (十二月)17:00,14.00K, 
1983年12月1日 (十一月)17:00,16.80K, 
1983年11月1日 (十月)17:00,-12.70K, 
1983年10月1日 (九月)17:00,48.70K, 
1983年9月1日 (八月)17:00,4.50K, 
1983年8月1日 (七月)17:00,12.90K, 
1983年7月1日 (六月)17:00,0.70K, 
1983年6月1日 (五月)17:00,18.40K, 
1983年5月1日 (四月)17:00,10.70K, 
1983年4月1日 (三月)17:00,-25.20K, 
1983年3月1日 (二月)17:00,-10.50K, 
1983年2月1日 (一月)17:00,-2.00K, 
1983年1月1日 (十二月)17:00,-70.20K, 
1982年12月1日 (十一月)17:00,-33.60K, 
1982年11月1日 (十月)17:00,-25.40K, 
1982年10月1日 (九月)17:00,-10.30K, 
1982年9月1日 (八月)17:00,-20.90K, 
1982年8月1日 (七月)17:00,-15.00K, 
1982年7月1日 (六月)17:00,-13.50K, 
1982年6月1日 (五月)17:00,-16.40K, 
1982年5月1日 (四月)17:00,0.00K, 
1982年4月1日 (三月)17:00,-14.80K, 
1982年3月1日 (二月)17:00,-12.80K, 
1982年2月1日 (一月)17:00,16.50K, 
1982年1月1日 (十二月)17:00,25.70K, 
1981年12月1日 (十一月)17:00,-1.20K, 
1981年11月1日 (十月)17:00,-16.50K, 
1981年10月1日 (九月)17:00,9.70K, 
1981年9月1日 (八月)17:00,13.70K, 
1981年8月1日 (七月)17:00,3.00K, 
1981年7月1日 (六月)17:00,16.80K, 
1981年6月1日 (五月)17:00,-18.40K, 
1981年5月1日 (四月)17:00,41.30K, 
1981年4月1日 (三月)17:00,-8.60K, 
1981年3月1日 (二月)17:00,11.20K, 
1981年2月1日 (一月)17:00,9.30K, 
1981年1月1日 (十二月)17:00,27.10K, 
1980年12月1日 (十一月)17:00,5.00K, 
1980年11月1日 (十月)17:00,3.50K, 
1980年10月1日 (九月)17:00,-8.90K, 
1980年9月1日 (八月)17:00,5.90K, 
1980年8月1日 (七月)17:00,12.80K, 
1980年7月1日 (六月)17:00,-19.40K, 
1980年6月1日 (五月)17:00,43.30K, 
1980年5月1日 (四月)17:00,5.90K, 
1980年4月1日 (三月)17:00,12.30K, 
1980年3月1日 (二月)17:00,23.00K, 
1980年2月1日 (一月)17:00,5.00K, 
1980年1月1日 (十二月)17:00,1.50K, 
1979年12月1日 (十一月)17:00,24.10K, 
1979年11月1日 (十月)17:00,25.90K, 
1979年10月1日 (九月)17:00,-7.80K, 
1979年9月1日 (八月)17:00,19.10K, 
1979年8月1日 (七月)17:00,-3.20K, 
1979年7月1日 (六月)17:00,37.30K, 
1979年6月1日 (五月)17:00,-6.10K, 
1979年5月1日 (四月)17:00,-2.30K, 
1979年4月1日 (三月)17:00,-3.00K, 
1979年3月1日 (二月)17:00,3.00K, 
1979年2月1日 (一月)17:00,10.70K, 
1979年1月1日 (十二月)17:00,6.50K, 
1978年12月1日 (十一月)17:00,-2.80K, 
1978年11月1日 (十月)17:00,1.30K, 
1978年10月1日 (九月)17:00,15.30K, 
1978年9月1日 (八月)17:00,-4.20K, 
1978年8月1日 (七月)17:00,-6.20K, 
1978年7月1日 (六月)17:00,-11.50K, 
1978年6月1日 (五月)17:00,-5.80K, 
1978年5月1日 (四月)17:00,26.00K, 
1978年4月1日 (三月)17:00,18.10K, 
