时间,今值,预测值
2003年12月1日 (十一月)17:00,1.44M, 
2003年11月1日 (十月)17:00,-1.60M, 
2003年10月1日 (九月)17:00,1.55M, 
2003年9月1日 (八月)17:00,-2.48M, 
2003年8月1日 (七月)17:00,-0.60M, 
2003年7月1日 (六月)17:00,-0.53M, 
2003年6月1日 (五月)17:00,0.08M, 
2003年5月1日 (四月)17:00,1.34M, 
2003年4月1日 (三月)17:00,-1.21M, 
2003年3月1日 (二月)17:00,-0.88M, 
2003年2月1日 (一月)17:00,0.59M, 
2003年1月1日 (十二月)17:00,1.58M, 
2002年12月1日 (十一月)17:00,1.76M, 
2002年11月1日 (十月)17:00,-3.31M, 
2002年10月1日 (九月)17:00,0.59M, 
2002年9月1日 (八月)17:00,-1.54M, 
2002年8月1日 (七月)17:00,-0.94M, 
2002年7月1日 (六月)17:00,0.13M, 
2002年6月1日 (五月)17:00,0.68M, 
2002年5月1日 (四月)17:00,0.29M, 
2002年4月1日 (三月)17:00,-0.42M, 
2002年3月1日 (二月)17:00,-0.78M, 
2002年2月1日 (一月)17:00,1.86M, 
2002年1月1日 (十二月)17:00,-1.01M, 
2001年12月1日 (十一月)17:00,1.05M, 
2001年11月1日 (十月)17:00,0.78M, 
2001年10月1日 (九月)17:00,2.31M, 
2001年9月1日 (八月)17:00,-3.31M, 
2001年8月1日 (七月)17:00,-2.67M, 
2001年7月1日 (六月)17:00,2.81M, 
2001年6月1日 (五月)17:00,2.31M, 
2001年5月1日 (四月)17:00,1.46M, 
2001年4月1日 (三月)17:00,-2.41M, 
2001年3月1日 (二月)17:00,-0.25M, 
2001年2月1日 (一月)17:00,2.36M, 
2001年1月1日 (十二月)17:00,-0.16M, 
2000年12月1日 (十一月)17:00,1.62M, 
2000年11月1日 (十月)17:00,-1.89M, 
2000年10月1日 (九月)17:00,-0.01M, 
2000年9月1日 (八月)17:00,-2.23M, 
2000年8月1日 (七月)17:00,0.33M, 
2000年7月1日 (六月)17:00,0.75M, 
2000年6月1日 (五月)17:00,-0.28M, 
2000年5月1日 (四月)17:00,-0.33M, 
2000年4月1日 (三月)17:00,1.20M, 
2000年3月1日 (二月)17:00,-0.72M, 
2000年2月1日 (一月)17:00,2.23M, 
2000年1月1日 (十二月)17:00,-0.28M, 
1999年12月1日 (十一月)17:00,-1.03M, 
1999年11月1日 (十月)17:00,-0.73M, 
1999年10月1日 (九月)17:00,0.27M, 
1999年9月1日 (八月)17:00,-1.02M, 
1999年8月1日 (七月)17:00,-2.68M, 
1999年7月1日 (六月)17:00,-1.74M, 
1999年6月1日 (五月)17:00,1.24M, 
1999年5月1日 (四月)17:00,0.91M, 
1999年4月1日 (三月)17:00,-2.83M, 
1999年3月1日 (二月)17:00,1.08M, 
1999年2月1日 (一月)17:00,2.96M, 
1999年1月1日 (十二月)17:00,0.97M, 
1998年12月1日 (十一月)17:00,1.43M, 
1998年11月1日 (十月)17:00,-1.60M, 
1998年10月1日 (九月)17:00,-0.34M, 
1998年9月1日 (八月)17:00,-1.67M, 
1998年8月1日 (七月)17:00,-1.08M, 
1998年7月1日 (六月)17:00,0.58M, 
1998年6月1日 (五月)17:00,1.41M, 
1998年5月1日 (四月)17:00,-0.21M, 
1998年4月1日 (三月)17:00,-1.52M, 
1998年3月1日 (二月)17:00,0.48M, 
1998年2月1日 (一月)17:00,2.23M, 
1998年1月1日 (十二月)17:00,1.88M, 
1997年12月1日 (十一月)17:00,0.45M, 
1997年11月1日 (十月)17:00,0.27M, 
1997年10月1日 (九月)17:00,2.46M, 
1997年9月1日 (八月)17:00,-1.34M, 
1997年8月1日 (七月)17:00,-2.77M, 
1997年7月1日 (六月)17:00,0.77M, 
1997年6月1日 (五月)17:00,1.40M, 
1997年5月1日 (四月)17:00,-0.49M, 
1997年4月1日 (三月)17:00,-1.55M, 
1997年3月1日 (二月)17:00,-0.94M, 
1997年2月1日 (一月)17:00,2.71M, 
1997年1月1日 (十二月)17:00,0.91M, 
1996年12月1日 (十一月)17:00,-0.22M, 
1996年11月1日 (十月)17:00,-1.34M, 
1996年10月1日 (九月)17:00,1.11M, 
1996年9月1日 (八月)17:00,-0.96M, 
1996年8月1日 (七月)17:00,-1.27M, 
1996年7月1日 (六月)17:00,-0.79M, 
1996年6月1日 (五月)17:00,0.42M, 
1996年5月1日 (四月)17:00,0.09M, 
1996年4月1日 (三月)17:00,-2.18M, 
1996年3月1日 (二月)17:00,-0.10M, 
1996年2月1日 (一月)17:00,2.10M, 
1996年1月1日 (十二月)17:00,1.81M, 
1995年12月1日 (十一月)17:00,-0.15M, 
1995年11月1日 (十月)17:00,-1.37M, 
1995年10月1日 (九月)17:00,1.39M, 
1995年9月1日 (八月)17:00,-2.15M, 
1995年8月1日 (七月)17:00,-0.18M, 
1995年7月1日 (六月)17:00,-0.35M, 
1995年6月1日 (五月)17:00,0.21M, 
1995年5月1日 (四月)17:00,-1.01M, 
1995年4月1日 (三月)17:00,-2.89M, 
1995年3月1日 (二月)17:00,1.08M, 
1995年2月1日 (一月)17:00,2.45M, 
1995年1月1日 (十二月)17:00,-0.45M, 
1994年12月1日 (十一月)17:00,3.19M, 
1994年11月1日 (十月)17:00,-2.35M, 
1994年10月1日 (九月)17:00,0.80M, 
1994年9月1日 (八月)17:00,-0.84M, 
1994年8月1日 (七月)17:00,-1.27M, 
1994年7月1日 (六月)17:00,-0.34M, 
1994年6月1日 (五月)17:00,0.04M, 
1994年5月1日 (四月)17:00,0.16M, 
1994年4月1日 (三月)17:00,-3.11M, 
1994年3月1日 (二月)17:00,-1.40M, 
1994年2月1日 (一月)17:00,2.24M, 
1994年1月1日 (十二月)17:00,1.18M, 
1993年12月1日 (十一月)17:00,2.39M, 
1993年11月1日 (十月)17:00,0.21M, 
1993年10月1日 (九月)17:00,1.48M, 
1993年9月1日 (八月)17:00,-3.02M, 
1993年8月1日 (七月)17:00,-1.44M, 
1993年7月1日 (六月)17:00,-1.81M, 
1993年6月1日 (五月)17:00,1.77M, 
1993年5月1日 (四月)17:00,-1.56M, 
1993年4月1日 (三月)17:00,-2.26M, 
1993年3月1日 (二月)17:00,0.74M, 
1993年2月1日 (一月)17:00,4.83M, 
1993年1月1日 (十二月)17:00,0.70M, 
1992年12月1日 (十一月)17:00,1.90M, 
1992年11月1日 (十月)17:00,-0.97M, 
1992年10月1日 (九月)17:00,0.73M, 
1992年9月1日 (八月)17:00,-3.75M, 
1992年8月1日 (七月)17:00,-1.43M, 
1992年7月1日 (六月)17:00,2.29M, 
1992年6月1日 (五月)17:00,-0.25M, 
1992年5月1日 (四月)17:00,-0.80M, 
1992年4月1日 (三月)17:00,-2.14M, 
1992年3月1日 (二月)17:00,1.01M, 
1992年2月1日 (一月)17:00,1.85M, 
1992年1月1日 (十二月)17:00,2.82M, 
1991年12月1日 (十一月)17:00,0.56M, 
1991年11月1日 (十月)17:00,-2.38M, 
1991年10月1日 (九月)17:00,1.08M, 
1991年9月1日 (八月)17:00,-0.06M, 
1991年8月1日 (七月)17:00,-1.61M, 
1991年7月1日 (六月)17:00,0.77M, 
1991年6月1日 (五月)17:00,2.02M, 
1991年5月1日 (四月)17:00,-1.29M, 
1991年4月1日 (三月)17:00,-2.44M, 
1991年3月1日 (二月)17:00,0.17M, 
1991年2月1日 (一月)17:00,0.02M, 
1991年1月1日 (十二月)17:00,0.64M, 
1990年12月1日 (十一月)17:00,-0.77M, 
1990年11月1日 (十月)17:00,-0.10M, 
1990年10月1日 (九月)17:00,2.95M, 
1990年9月1日 (八月)17:00,-1.70M, 
1990年8月1日 (七月)17:00,0.04M, 
1990年7月1日 (六月)17:00,-0.65M, 
1990年6月1日 (五月)17:00,-0.39M, 
1990年5月1日 (四月)17:00,-1.87M, 
1990年4月1日 (三月)17:00,-4.38M, 
1990年3月1日 (二月)17:00,4.46M, 
1990年2月1日 (一月)17:00,5.96M, 
