时间,今值,预测值
1982年10月1日 (九月)17:00,-18.30K, 
1982年9月1日 (八月)17:00,-5.90K, 
1982年8月1日 (七月)17:00,-0.20K, 
1982年7月1日 (六月)17:00,-13.00K, 
1982年6月1日 (五月)17:00,-23.00K, 
1982年5月1日 (四月)17:00,12.50K, 
1982年4月1日 (三月)17:00,-7.70K, 
1982年3月1日 (二月)17:00,-13.70K, 
1982年2月1日 (一月)17:00,33.90K, 
1982年1月1日 (十二月)17:00,11.80K, 
1981年12月1日 (十一月)17:00,-9.10K, 
1981年11月1日 (十月)17:00,-26.20K, 
1981年10月1日 (九月)17:00,19.20K, 
1981年9月1日 (八月)17:00,16.90K, 
1981年8月1日 (七月)17:00,-1.50K, 
1981年7月1日 (六月)17:00,15.70K, 
1981年6月1日 (五月)17:00,-2.40K, 
1981年5月1日 (四月)17:00,30.00K, 
1981年4月1日 (三月)17:00,3.60K, 
1981年3月1日 (二月)17:00,18.80K, 
1981年2月1日 (一月)17:00,1.70K, 
1981年1月1日 (十二月)17:00,20.30K, 
1980年12月1日 (十一月)17:00,26.10K, 
1980年11月1日 (十月)17:00,-7.60K, 
1980年10月1日 (九月)17:00,3.30K, 
1980年9月1日 (八月)17:00,2.90K, 
1980年8月1日 (七月)17:00,32.70K, 
1980年7月1日 (六月)17:00,8.30K, 
1980年6月1日 (五月)17:00,21.20K, 
1980年5月1日 (四月)17:00,12.40K, 
1980年4月1日 (三月)17:00,12.40K, 
1980年3月1日 (二月)17:00,15.30K, 
1980年2月1日 (一月)17:00,20.60K, 
1980年1月1日 (十二月)17:00,0.20K, 
1979年12月1日 (十一月)17:00,31.40K, 
1979年11月1日 (十月)17:00,38.20K, 
1979年10月1日 (九月)17:00,-0.40K, 
1979年9月1日 (八月)17:00,17.00K, 
1979年8月1日 (七月)17:00,-0.70K, 
1979年7月1日 (六月)17:00,30.90K, 
1979年6月1日 (五月)17:00,1.60K, 
1979年5月1日 (四月)17:00,10.60K, 
1979年4月1日 (三月)17:00,-5.30K, 
1979年3月1日 (二月)17:00,6.40K, 
1979年2月1日 (一月)17:00,1.60K, 
1979年1月1日 (十二月)17:00,21.40K, 
1978年12月1日 (十一月)17:00,-6.50K, 
1978年11月1日 (十月)17:00,5.50K, 
1978年10月1日 (九月)17:00,0.70K, 
1978年9月1日 (八月)17:00,1.70K, 
1978年8月1日 (七月)17:00,-2.80K, 
1978年7月1日 (六月)17:00,3.10K, 
1978年6月1日 (五月)17:00,-2.90K, 
1978年5月1日 (四月)17:00,30.10K, 
1978年4月1日 (三月)17:00,8.30K, 
