时间,今值,预测值
1998年8月1日 (七月)17:00,-1.12B, 
1998年7月1日 (六月)17:00,-0.90B, 
1998年6月1日 (五月)17:00,-0.65B, 
1998年5月1日 (四月)17:00,-0.56B, 
1998年4月1日 (三月)17:00,-1.16B, 
1998年3月1日 (二月)17:00,-0.50B, 
1998年2月1日 (一月)17:00,-0.72B, 
1998年1月1日 (十二月)17:00,-0.58B, 
1997年12月1日 (十一月)17:00,0.04B, 
1997年11月1日 (十月)17:00,-0.07B, 
1997年10月1日 (九月)17:00,0.19B, 
1997年9月1日 (八月)17:00,0.11B, 
1997年8月1日 (七月)17:00,-0.02B, 
1997年7月1日 (六月)17:00,1.50B, 
1997年6月1日 (五月)17:00,0.61B, 
1997年5月1日 (四月)17:00,-0.07B, 
1997年4月1日 (三月)17:00,0.01B, 
1997年3月1日 (二月)17:00,0.10B, 
1997年2月1日 (一月)17:00,0.04B, 
1997年1月1日 (十二月)17:00,-0.11B, 
1996年12月1日 (十一月)17:00,-0.28B, 
1996年11月1日 (十月)17:00,-0.07B, 
1996年10月1日 (九月)17:00,-0.07B, 
1996年9月1日 (八月)17:00,-0.11B, 
1996年8月1日 (七月)17:00,0.10B, 
1996年7月1日 (六月)17:00,0.33B, 
1996年6月1日 (五月)17:00,-0.19B, 
1996年5月1日 (四月)17:00,-0.12B, 
1996年4月1日 (三月)17:00,0.27B, 
1996年3月1日 (二月)17:00,-0.42B, 
1996年2月1日 (一月)17:00,-0.02B, 
1996年1月1日 (十二月)17:00,-0.23B, 
1995年12月1日 (十一月)17:00,-0.61B, 
1995年11月1日 (十月)17:00,-0.49B, 
1995年10月1日 (九月)17:00,-0.11B, 
1995年9月1日 (八月)17:00,-0.52B, 
1995年8月1日 (七月)17:00,-0.81B, 
1995年7月1日 (六月)17:00,-0.89B, 
1995年6月1日 (五月)17:00,-0.87B, 
1995年5月1日 (四月)17:00,-0.77B, 
1995年4月1日 (三月)17:00,-0.67B, 
1995年3月1日 (二月)17:00,-0.61B, 
1995年2月1日 (一月)17:00,-0.70B, 
1995年1月1日 (十二月)17:00,-1.25B, 
1994年12月1日 (十一月)17:00,-0.75B, 
1994年11月1日 (十月)17:00,-0.58B, 
1994年10月1日 (九月)17:00,-0.85B, 
1994年9月1日 (八月)17:00,-1.05B, 
1994年8月1日 (七月)17:00,-0.74B, 
1994年7月1日 (六月)17:00,-0.32B, 
1994年6月1日 (五月)17:00,-0.29B, 
1994年5月1日 (四月)17:00,-0.37B, 
1994年4月1日 (三月)17:00,-0.19B, 
1994年3月1日 (二月)17:00,0.09B, 
1994年2月1日 (一月)17:00,-0.19B, 
1994年1月1日 (十二月)17:00,-0.41B, 
1993年12月1日 (十一月)17:00,-0.04B, 
1993年11月1日 (十月)17:00,-0.09B, 
1993年10月1日 (九月)17:00,-0.23B, 
1993年9月1日 (八月)17:00,-0.37B, 
1993年8月1日 (七月)17:00,-0.16B, 
1993年7月1日 (六月)17:00,-0.34B, 
1993年6月1日 (五月)17:00,-0.04B, 
1993年5月1日 (四月)17:00,-0.37B, 
1993年4月1日 (三月)17:00,-0.45B, 
1993年3月1日 (二月)17:00,0.23B, 
1993年2月1日 (一月)17:00,0.29B, 
1993年1月1日 (十二月)17:00,-0.04B, 
1992年12月1日 (十一月)17:00,-0.23B, 
1992年11月1日 (十月)17:00,-0.27B, 
1992年10月1日 (九月)17:00,-0.11B, 
1992年9月1日 (八月)17:00,-0.01B, 
1992年8月1日 (七月)17:00,-0.28B, 
1992年7月1日 (六月)17:00,-0.20B, 
1992年6月1日 (五月)17:00,-0.01B, 
1992年5月1日 (四月)17:00,0.08B, 
1992年4月1日 (三月)17:00,0.07B, 
1992年3月1日 (二月)17:00,0.01B, 
1992年2月1日 (一月)17:00,0.22B, 
1992年1月1日 (十二月)17:00,0.22B, 
1991年12月1日 (十一月)17:00,-0.27B, 
1991年11月1日 (十月)17:00,-0.01B, 
1991年10月1日 (九月)17:00,-0.10B, 
1991年9月1日 (八月)17:00,0.60B, 
1991年8月1日 (七月)17:00,0.17B, 
1991年7月1日 (六月)17:00,0.25B, 
1991年6月1日 (五月)17:00,0.44B, 
1991年5月1日 (四月)17:00,-0.09B, 
1991年4月1日 (三月)17:00,0.37B, 
1991年3月1日 (二月)17:00,-0.18B, 
1991年2月1日 (一月)17:00,-0.21B, 
1991年1月1日 (十二月)17:00,-0.25B, 
1990年12月1日 (十一月)17:00,-0.29B, 
1990年11月1日 (十月)17:00,-0.07B, 
1990年10月1日 (九月)17:00,-0.16B, 
1990年9月1日 (八月)17:00,-0.43B, 
1990年8月1日 (七月)17:00,-0.31B, 
1990年7月1日 (六月)17:00,-0.18B, 
1990年6月1日 (五月)17:00,-0.29B, 
1990年5月1日 (四月)17:00,-0.43B, 
1990年4月1日 (三月)17:00,-0.46B, 
1990年3月1日 (二月)17:00,-0.23B, 
1990年2月1日 (一月)17:00,-1.13B, 
1990年1月1日 (十二月)17:00,-0.91B, 
1989年12月1日 (十一月)17:00,-0.68B, 
1989年11月1日 (十月)17:00,-0.93B, 
1989年10月1日 (九月)17:00,-0.85B, 
1989年9月1日 (八月)17:00,-1.19B, 
1989年8月1日 (七月)17:00,-0.79B, 
1989年7月1日 (六月)17:00,-0.61B, 
1989年6月1日 (五月)17:00,-0.84B, 
1989年5月1日 (四月)17:00,-0.82B, 
1989年4月1日 (三月)17:00,-0.54B, 
1989年3月1日 (二月)17:00,-0.85B, 
1989年2月1日 (一月)17:00,-0.83B, 
1989年1月1日 (十二月)17:00,-0.65B, 
1988年12月1日 (十一月)17:00,-0.60B, 
1988年11月1日 (十月)17:00,-0.68B, 
1988年10月1日 (九月)17:00,-0.13B, 
1988年9月1日 (八月)17:00,-0.28B, 
1988年8月1日 (七月)17:00,-0.42B, 
1988年7月1日 (六月)17:00,-0.32B, 
1988年6月1日 (五月)17:00,-0.27B, 
1988年5月1日 (四月)17:00,-0.45B, 
1988年4月1日 (三月)17:00,-0.22B, 
1988年3月1日 (二月)17:00,-0.15B, 
1988年2月1日 (一月)17:00,0.34B, 
1988年1月1日 (十二月)17:00,-0.43B, 
1987年12月1日 (十一月)17:00,0.10B, 
1987年11月1日 (十月)17:00,-0.23B, 
1987年10月1日 (九月)17:00,-0.21B, 
1987年9月1日 (八月)17:00,-0.03B, 
1987年8月1日 (七月)17:00,-0.36B, 
1987年7月1日 (六月)17:00,-0.32B, 
1987年6月1日 (五月)17:00,-0.26B, 
1987年5月1日 (四月)17:00,-0.26B, 
1987年4月1日 (三月)17:00,-0.24B, 
1987年3月1日 (二月)17:00,-0.39B, 
1987年2月1日 (一月)17:00,-0.35B, 
1987年1月1日 (十二月)17:00,-0.32B, 
1986年12月1日 (十一月)17:00,-0.47B, 
