时间,今值,预测值
2009年3月11日22:30,0.700M, 
2009年3月4日23:30,-0.700M, 
2009年2月25日23:30,0.700M, 
2009年2月20日00:00,-0.200M, 
2009年2月11日23:30,4.700M,3.100M
2009年2月4日23:30,7.200M, 
2009年1月28日23:30,6.200M, 
2009年1月23日00:00,6.100M,1.100M
2009年1月14日23:30,1.200M, 
2009年1月7日23:30,6.700M, 
2008年12月31日23:35,0.500M, 
2008年12月24日23:35,-3.100M, 
2008年12月17日23:35,0.500M, 
2008年12月10日23:35,0.400M, 
2008年12月3日23:35,-0.400M,1.800M
2008年11月26日23:35,7.300M, 
2008年11月19日23:35,1.600M, 
2008年11月14日00:00,0.000M, 
2008年11月5日23:35,0.000M, 
2008年10月29日22:35,0.500M, 
2008年10月22日22:35,3.200M, 
2008年10月16日23:00,5.600M, 
2008年10月8日22:35,8.100M, 
2008年10月1日22:35,4.300M, 
2008年9月24日22:35,-1.500M, 
2008年9月17日22:35,-6.300M, 
2008年9月10日22:35,-5.900M, 
2008年9月4日23:00,-1.900M, 
2008年8月27日22:35,-0.100M, 
2008年8月20日22:35,9.400M, 
2008年8月13日22:35,-0.400M, 
2008年8月6日22:35,1.700M, 
2008年7月30日22:35,-0.100M, 
2008年7月23日22:35,-1.600M, 
2008年7月16日22:35,3.000M, 
2008年7月9日22:35,-5.900M, 
2008年7月2日22:30,-2.000M, 
2008年6月25日22:30,0.800M, 
2008年6月18日22:35,-1.200M, 
2008年6月11日23:35,-4.600M, 
2008年6月4日23:30,-4.800M, 
2008年5月29日23:30,-8.800M, 
2008年5月21日23:30,-5.300M, 
2008年5月14日23:30,0.200M,0.000M
2008年5月7日22:30,5.700M,0.000M
2008年4月30日22:30,3.800M,0.000M
2008年4月23日22:30,2.400M,0.000M
2008年4月16日22:30,-2.400M,0.000M
2008年4月9日22:30,-3.100M,0.000M
2008年4月2日22:30,1.900M,0.000M
2008年3月26日22:30,0.100M,1.700M
2008年3月19日22:30,0.100M,2.300M
2008年3月12日22:30,6.200M,0.000M
2008年3月5日23:30,-3.100M,0.000M
2008年2月27日23:30,3.200M,0.000M
2008年2月21日23:30,4.200M,0.000M
2008年2月13日23:30,1.100M,2.400M
2008年1月1日 (十二月)17:00,-4.05M, 
2007年12月1日 (十一月)17:00,-1.58M, 
2007年11月1日 (十月)17:00,-2.08M, 
2007年10月1日 (九月)17:00,-1.98M, 
2007年9月1日 (八月)17:00,-2.87M, 
2007年8月1日 (七月)17:00,-2.54M, 
2007年7月1日 (六月)17:00,2.79M, 
2007年6月1日 (五月)17:00,1.21M, 
2007年5月1日 (四月)17:00,0.96M, 
2007年4月1日 (三月)17:00,1.51M, 
2007年3月1日 (二月)17:00,0.36M, 
2007年2月1日 (一月)17:00,1.08M, 
2007年1月1日 (十二月)17:00,-4.82M, 
2006年12月1日 (十一月)17:00,1.25M, 
2006年11月1日 (十月)17:00,1.43M, 
2006年10月1日 (九月)17:00,-0.70M, 
2006年9月1日 (八月)17:00,-0.53M, 
2006年8月1日 (七月)17:00,-1.86M, 
2006年7月1日 (六月)17:00,-1.11M, 
2006年6月1日 (五月)17:00,-0.11M, 
2006年5月1日 (四月)17:00,0.98M, 
2006年4月1日 (三月)17:00,2.55M, 
2006年3月1日 (二月)17:00,2.53M, 
2006年2月1日 (一月)17:00,-0.15M, 
2006年1月1日 (十二月)17:00,0.54M, 
2005年12月1日 (十一月)17:00,-0.19M, 
2005年11月1日 (十月)17:00,3.48M, 
2005年10月1日 (九月)17:00,-2.75M, 
2005年9月1日 (八月)17:00,-0.11M, 
2005年8月1日 (七月)17:00,-1.80M, 
2005年7月1日 (六月)17:00,-1.59M, 
2005年6月1日 (五月)17:00,1.27M, 
