时间,今值,预测值
1981年2月1日 (一月)17:00,49.20, 
1981年1月1日 (十二月)17:00,53.00, 
1980年12月1日 (十一月)17:00,58.20, 
1980年11月1日 (十月)17:00,55.50, 
1980年10月1日 (九月)17:00,50.10, 
1980年9月1日 (八月)17:00,45.50, 
1980年8月1日 (七月)17:00,35.00, 
1980年7月1日 (六月)17:00,30.30, 
1980年6月1日 (五月)17:00,29.40, 
1980年5月1日 (四月)17:00,37.40, 
1980年4月1日 (三月)17:00,43.60, 
1980年3月1日 (二月)17:00,50.20, 
1980年2月1日 (一月)17:00,46.20, 
1980年1月1日 (十二月)17:00,44.80, 
1979年12月1日 (十一月)17:00,48.00, 
1979年11月1日 (十月)17:00,49.00, 
1979年10月1日 (九月)17:00,49.60, 
1979年9月1日 (八月)17:00,49.50, 
1979年8月1日 (七月)17:00,51.30, 
1979年7月1日 (六月)17:00,52.70, 
1979年6月1日 (五月)17:00,54.40, 
1979年5月1日 (四月)17:00,56.20, 
1979年4月1日 (三月)17:00,57.70, 
1979年3月1日 (二月)17:00,58.20, 
1979年2月1日 (一月)17:00,58.50, 
1979年1月1日 (十二月)17:00,59.40, 
1978年12月1日 (十一月)17:00,61.30, 
1978年11月1日 (十月)17:00,60.10, 
1978年10月1日 (九月)17:00,60.50, 
1978年9月1日 (八月)17:00,60.30, 
1978年8月1日 (七月)17:00,62.20, 
1978年7月1日 (六月)17:00,60.50, 
1978年6月1日 (五月)17:00,60.20, 
1978年5月1日 (四月)17:00,57.70, 
1978年4月1日 (三月)17:00,55.00, 
1978年3月1日 (二月)17:00,55.90, 
1978年2月1日 (一月)17:00,57.40, 
1978年1月1日 (十二月)17:00,59.80, 
1977年12月1日 (十一月)17:00,56.10, 
1977年11月1日 (十月)17:00,55.40, 
1977年10月1日 (九月)17:00,53.90, 
1977年9月1日 (八月)17:00,54.90, 
1977年8月1日 (七月)17:00,57.70, 
1977年7月1日 (六月)17:00,56.80, 
1977年6月1日 (五月)17:00,59.70, 
1977年5月1日 (四月)17:00,56.90, 
1977年4月1日 (三月)17:00,58.40, 
1977年3月1日 (二月)17:00,55.00, 
1977年2月1日 (一月)17:00,54.80, 
1977年1月1日 (十二月)17:00,56.60, 
1976年12月1日 (十一月)17:00,51.70, 
1976年11月1日 (十月)17:00,53.50, 
1976年10月1日 (九月)17:00,53.60, 
1976年9月1日 (八月)17:00,54.50, 
1976年8月1日 (七月)17:00,55.90, 
1976年7月1日 (六月)17:00,58.20, 
1976年6月1日 (五月)17:00,58.80, 
1976年5月1日 (四月)17:00,60.60, 
1976年4月1日 (三月)17:00,58.40, 
1976年3月1日 (二月)17:00,61.50, 
1976年2月1日 (一月)17:00,58.80, 
1976年1月1日 (十二月)17:00,54.90, 
1975年12月1日 (十一月)17:00,54.50, 
1975年11月1日 (十月)17:00,55.50, 
1975年10月1日 (九月)17:00,54.40, 
1975年9月1日 (八月)17:00,51.40, 
1975年8月1日 (七月)17:00,47.20, 
1975年7月1日 (六月)17:00,45.10, 
1975年6月1日 (五月)17:00,41.20, 
1975年5月1日 (四月)17:00,37.50, 
1975年4月1日 (三月)17:00,31.60, 
1975年3月1日 (二月)17:00,34.40, 
1975年2月1日 (一月)17:00,30.70, 
1975年1月1日 (十二月)17:00,30.90, 
1974年12月1日 (十一月)17:00,37.90, 
1974年11月1日 (十月)17:00,42.70, 
1974年10月1日 (九月)17:00,46.20, 
1974年9月1日 (八月)17:00,52.90, 
1974年8月1日 (七月)17:00,54.80, 
1974年7月1日 (六月)17:00,54.70, 
1974年6月1日 (五月)17:00,55.70, 
1974年5月1日 (四月)17:00,59.90, 
1974年4月1日 (三月)17:00,61.80, 
1974年3月1日 (二月)17:00,58.60, 
1974年2月1日 (一月)17:00,62.10, 
1974年1月1日 (十二月)17:00,63.60, 
1973年12月1日 (十一月)17:00,68.10, 
1973年11月1日 (十月)17:00,66.20, 
1973年10月1日 (九月)17:00,63.50, 
1973年9月1日 (八月)17:00,62.70, 
1973年8月1日 (七月)17:00,57.80, 
1973年7月1日 (六月)17:00,65.00, 
1973年6月1日 (五月)17:00,64.80, 
1973年5月1日 (四月)17:00,67.70, 
1973年4月1日 (三月)17:00,69.60, 
1973年3月1日 (二月)17:00,69.60, 
1973年2月1日 (一月)17:00,72.10, 
